Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanone,383.15,-15.66768595,-16.22958907,726.1,58.0795,REF,-1.03085481,0.5249583202,-0.13722609,-0.5619031200000002,-15.66768595,-16.00770956,726.1,58.0795,SLE,-0.78000388,0.6816192458,0.00226367,0.16595721,-0.34002360999999937,0.2508509299999999,0.13948976,0.1566609256,0.22187951000000083
propanone,378.15,-15.91024291,-16.50477715,730.09,58.0795,REF,-1.07708181,0.4957894542,-0.1644756,-0.5945342399999998,-15.91024291,-16.27287189,730.09,58.0795,SLE,-0.81631033,0.6596629166,-0.01348838,0.15264749,-0.362628980000002,0.26077147999999994,0.15098722,0.1638734624,0.23190525999999778
propanone,373.15,-16.15461156,-16.78215409,734.11,58.0795,REF,-1.12432674,0.4663001257,-0.19351169,-0.6275425299999995,-16.15461156,-16.54032366,734.11,58.0795,SLE,-0.85331231,0.6369120652,-0.03035132,0.14018053,-0.3857120999999992,0.27101443000000014,0.16316037,0.17061193949999998,0.24183043000000026
propanone,368.15,-16.40076282,-17.06166009,738.17,58.0795,REF,-1.17264932,0.4366459678,-0.22440872,-0.6608972699999995,-16.40076282,-16.81004029,738.17,58.0795,SLE,-0.89103562,0.6134061926,-0.04838013,0.12851812,-0.40927746999999925,0.2816137000000001,0.17602859,0.17676022479999998,0.2516198000000003
propanone,363.15,-16.64866657,-17.34322255,742.26,58.0795,REF,-1.22211962,0.4069904286,-0.25724583,-0.6945559800000005,-16.64866657,-17.082036,742.26,58.0795,SLE,-0.92948356,0.5892113875,-0.06761674,0.11762955,-0.43336942999999906,0.29263606,0.18962909,0.1822209589,0.26118655000000146
propanone,358.15,-16.89829177,-17.62675319,746.39,58.0795,REF,-1.27282063,0.3775011428,-0.29210938,-0.7284614199999986,-16.89829177,-17.35630898,746.39,58.0795,SLE,-0.96866878,0.5644010238,-0.08810603,0.10748088,-0.4580172100000013,0.30415185,0.20400334999999997,0.186899881,0.2704442099999973
propanone,353.15,-17.14960654,-17.91214569,750.56,58.0795,REF,-1.3248507,0.348346486,-0.3290956,-0.7625391499999985,-17.14960654,-17.63286201,750.56,58.0795,SLE,-1.00860136,0.5390630845,-0.10988901,0.09803895,-0.4832554699999996,0.31624934000000016,0.21920658999999998,0.19071659849999995,0.2792836799999989
propanone,348.15,-17.40257834,-18.19928138,754.77,58.0795,REF,-1.37832116,0.3196948379,-0.36830969,-0.796703039999997,-17.40257834,-17.91171352,754.77,58.0795,SLE,-1.04928174,0.5133041372,-0.13299765,0.08927262,-0.5091351799999977,0.32903941999999997,0.23531204000000003,0.19360929930000004,0.28756785999999934
propanone,343.15,-17.65717409,-18.48799809,759.01,58.0795,REF,-1.43337718,0.2917019218,-0.40988326,-0.8308239999999998,-17.65717409,-18.19285674,759.01,58.0795,SLE,-1.09072608,0.4872322147,-0.15747003,0.08114727,-0.5356826499999983,0.3426510999999999,0.25241323000000004,0.1955302929,0.2951413500000015
propanone,338.15,-17.91336033,-18.77813535,763.3,58.0795,REF,-1.49017119,0.2645238472,-0.4539548,-0.8647750199999997,-17.91336033,-18.47629089,763.3,58.0795,SLE,-1.13294739,0.4609674139,-0.18333894,0.07362963,-0.5629305600000016,0.3572238000000001,0.27061586,0.19644356670000002,0.3018444599999981
