Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
chcl3,298.15,-29.48560345,-31.78435687,1490.63,119.3783,SLE,-2.15978546,0.056056653,-1.08839926,0.00692173,-2.2987534200000006
cyclohexane,403.15,-22.12730948,-20.74441715,682.56,84.16,SLE,-2.82397598,0.0178292288,-1.91871996,0.00149977,1.3828923300000007
cyclohexane,398.15,-22.45099291,-21.00894705,686.3,84.16,SLE,-2.9289354,0.0140507871,-2.02050217,0.00117778,1.4420458600000003
cyclohexane,393.15,-22.77754467,-21.27781451,690.07,84.16,SLE,-3.03574828,0.0110181808,-2.12428954,0.00092098,1.4997301600000021
cyclohexane,388.15,-23.10693885,-21.55067344,693.88,84.16,SLE,-3.14466644,0.0085934277,-2.23030288,0.00071669,1.5562654099999982
cyclohexane,383.15,-23.4391479,-21.82721669,697.73,84.16,SLE,-3.25593173,0.0066630876,-2.33875892,0.00055471,1.611931209999998
cyclohexane,378.15,-23.77414272,-22.10717869,701.61,84.16,SLE,-3.36977385,0.0051338821,-2.44986696,0.0004268,1.666964029999999
cyclohexane,373.15,-24.11189277,-22.39032415,705.53,84.16,SLE,-3.48641627,0.0039290309,-2.56383381,0.00032627,1.7215686199999993
cyclohexane,368.15,-24.45236622,-22.67644399,709.5,84.16,SLE,-3.60607825,0.0029853865,-2.68086515,0.0002477,1.775922229999999
cyclohexane,363.15,-24.79553009,-22.96535375,713.5,84.16,SLE,-3.72897566,0.0022511082,-2.8011657,0.00018665,1.8301763400000013
cyclohexane,358.15,-25.14135041,-23.25688805,717.54,84.16,SLE,-3.85532415,0.0016837372,-2.92494207,0.00013953,1.8844623600000006
cyclohexane,353.15,-25.4897924,-23.55089817,721.62,84.16,SLE,-3.98534081,0.0012486226,-3.05240392,0.00010343,1.938894229999999
cyclohexane,348.15,-25.84082069,-23.84725012,725.74,84.16,SLE,-4.11924555,0.0009176107,-3.18376513,7.599e-05,1.9935705699999993
cyclohexane,343.15,-26.1943995,-24.1458224,729.9,84.16,SLE,-4.25726292,0.0006679449,-3.31924539,5.53e-05,2.0485770999999993
cyclohexane,338.15,-26.55049287,-24.44650425,734.11,84.16,SLE,-4.39962369,0.0004813425,-3.4590715,3.985e-05,2.103988619999999
cyclohexane,333.15,-26.90906493,-24.74919389,738.36,84.16,SLE,-4.54656663,0.0003432151,-3.60347908,2.841e-05,2.1598710399999987
cyclohexane,328.15,-27.27008015,-25.05379753,742.65,84.16,SLE,-4.69834,0.00024201,-3.75271385,2.003e-05,2.2162826199999976
cyclohexane,323.15,-27.63350359,-25.36022806,746.99,84.16,SLE,-4.8552033,0.000168655,-3.9070333,1.396e-05,2.2732755299999994
