Solvent,Temperature_K,mu_self_REF,mu_solv_REF,Solvent_density_REF,Solvent_MolWeight_REF,Method_REF,log10_x_REF,w_REF,log10_S_REF,delta_mu_REF,mu_self_SLE,mu_solv_SLE,Solvent_density_SLE,Solvent_MolWeight_SLE,Method_SLE,log10_x_SLE,w_SLE,log10_S_SLE,x,delta_mu_SLE,error_log10_x,error_log10_S,error_w,error_delta_mu
propanone,303.15,-29.11061966,-31.9301648,794.43,58.0795,REF,-2.56730738,0.0453989155,-1.4423505,-2.819545139999999,-29.11061966,-31.55148503,794.43,58.0795,SLE,-1.97310425,0.1584750968,-0.87904854,0.01063888,-2.4408653699999974,0.5942031299999999,0.5633019600000001,0.1130761813,0.3786797700000015
propanone,298.15,-29.48560345,-32.32626004,799.05,58.0795,REF,-2.68149954,0.0352511319,-1.55150522,-2.840656590000002,-29.48560345,-31.9662863,799.05,58.0795,SLE,-2.02648807,0.1426096717,-0.92532924,0.00940832,-2.480682850000001,0.6550114699999998,0.6261759799999999,0.10735853979999999,0.35997374000000093
acetylacetone,403.15,-22.12730948,-22.73497572,867.41,100.1163,REF,-1.84844865,0.1274687249,-0.94783,-0.6076662400000004,-22.12730948,-22.71350778,867.41,100.1163,SLE,-1.75700523,0.1532162022,-0.86464125,0.01749826,-0.5861982999999995,0.09144341999999983,0.08318874999999992,0.025747477300000016,0.02146794000000085
acetylacetone,398.15,-22.45099291,-23.05482724,871.9,100.1163,REF,-1.93862412,0.1058494191,-1.02906112,-0.6038343300000015,-22.45099291,-23.03009662,871.9,100.1163,SLE,-1.82000266,0.1350467708,-0.91956378,0.01513552,-0.5791037099999983,0.11862145999999996,0.10949733999999989,0.0291973517,0.024730620000003256
acetylacetone,393.15,-22.77754467,-23.37584905,876.41,100.1163,REF,-2.03203716,0.0869703816,-1.11452555,-0.5983043799999983,-22.77754467,-23.34887044,876.41,100.1163,SLE,-1.88498228,0.1182811586,-0.97703786,0.0130322,-0.5713257699999978,0.14705487999999978,0.13748768999999994,0.03131077700000001,0.026978610000000458
acetylacetone,388.15,-23.10693885,-23.69816447,880.96,100.1163,REF,-2.12872887,0.0707180546,-1.20416636,-0.5912256199999995,-23.10693885,-23.66988947,880.96,100.1163,SLE,-1.95197223,0.102942954,-1.03706584,0.01116935,-0.5629506200000023,0.17675664000000024,0.1671005200000002,0.03222489940000001,0.028274999999997164
acetylacetone,383.15,-23.4391479,-24.02192978,885.53,100.1163,REF,-2.22872276,0.0569205,-1.29790725,-0.5827818800000024,-23.4391479,-23.99321841,885.53,100.1163,SLE,-2.0209986,0.0890295522,-1.0996442,0.00952799,-0.5540705100000025,0.20772416000000016,0.19826305,0.0321090522,0.028711369999999903
acetylacetone,378.15,-23.77414272,-24.34732226,890.12,100.1163,REF,-2.33203053,0.045363326,-1.39566114,-0.5731795399999982,-23.77414272,-24.31892288,890.12,100.1163,SLE,-2.09208748,0.0765140127,-1.16476635,0.00808933,-0.5447801599999984,0.23994304999999994,0.23089479000000002,0.031150686699999992,0.028399379999999752
acetylacetone,373.15,-24.11189277,-24.67454254,894.75,100.1163,REF,-2.43865,0.0358071088,-1.4973309,-0.5626497700000002,-24.11189277,-24.64707351,894.75,100.1163,SLE,-2.16526254,0.0653486189,-1.23242129,0.00683498,-0.5351807399999977,0.2733874599999999,0.2649096099999999,0.0295415101,0.027469030000002448
acetylacetone,368.15,-24.45236622,-25.00379861,899.4,100.1163,REF,-2.54857376,0.0280021908,-1.60281993,-0.5514323900000022,-24.45236622,-24.97774258,899.4,100.1163,SLE,-2.24054701,0.0554681238,-1.30259634,0.00574716,-0.5253763600000028,0.30802675000000024,0.3002235899999999,0.027465932999999998,0.026056029999999453
acetylacetone,363.15,-24.79553009,-25.33529952,904.08,100.1163,REF,-2.66179262,0.0217018413,-1.71203725,-0.5397694299999998,-24.79553009,-25.31100549,904.08,100.1163,SLE,-2.31796284,0.0467937884,-1.37527711,0.0048088,-0.5154753999999997,0.3438297800000001,0.33676014,0.0250919471,0.024294030000000078
acetylacetone,358.15,-25.14135041,-25.6692473,908.78,100.1163,REF,-2.77830057,0.0166721897,-1.82490349,-0.5278968899999974,-25.14135041,-25.64694214,908.78,100.1163,SLE,-2.39752985,0.0392373164,-1.45044747,0.00400378,-0.505591729999999,0.3807707199999997,0.37445602,0.0225651267,0.02230515999999838
acetylacetone,353.15,-25.4897924,-26.00583191,913.51,100.1163,REF,-2.89809826,0.0126990577,-1.9413547,-0.5160395100000024,-25.4897924,-25.98563464,913.51,100.1163,SLE,-2.47926711,0.0327043658,-1.52809143,0.0033169,-0.49584224000000177,0.41883114999999993,0.41326327000000007,0.0200053081,0.0201972700000006
acetylacetone,348.15,-25.84082069,-26.34522539,918.27,100.1163,REF,-3.02119721,0.0095918311,-2.06134666,-0.5044046999999985,-25.84082069,-26.32716491,918.27,100.1163,SLE,-2.56319453,0.0270978205,-1.60819525,0.00273404,-0.48634421999999944,0.4580026799999999,0.4531514099999998,0.0175059894,0.018060479999999046
acetylacetone,343.15,-26.1943995,-26.6875815,923.06,100.1163,REF,-3.14762101,0.0071850085,-2.1848556,-0.4931820000000009,-26.1943995,-26.67161469,923.06,100.1163,SLE,-2.64933305,0.0223207563,-1.69074804,0.00224216,-0.477215189999999,0.49828795999999986,0.4941075600000002,0.015135747800000002,0.015966810000001885
