Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
"2,3-dihydropyran",383.15,-23.4391479,-25.16000037,858.83,84.1169,REF,-1.57957686,0.2464013477,-0.64818811,-1.7208524700000005
"2,3-dihydropyran",378.15,-23.77414272,-25.53842175,863.39,84.1169,REF,-1.64365428,0.2194037659,-0.70015557,-1.7642790300000009
"2,3-dihydropyran",373.15,-24.11189277,-25.91566414,867.98,84.1169,REF,-1.71175308,0.1932053772,-0.75678919,-1.8037713699999998
"2,3-dihydropyran",368.15,-24.45236622,-26.29125619,872.6,84.1169,REF,-1.78429803,0.1680657271,-0.81854596,-1.8388899700000003
"2,3-dihydropyran",363.15,-24.79553009,-26.66470703,877.26,84.1169,REF,-1.86174833,0.1442464176,-0.88591341,-1.8691769399999991
"2,3-dihydropyran",358.15,-25.14135041,-27.03558322,881.94,84.1169,REF,-1.9445532,0.122008993,-0.95936621,-1.8942328099999983
"2,3-dihydropyran",353.15,-25.4897924,-27.40354139,886.67,84.1169,REF,-2.03313104,0.101595812,-1.03934129,-1.913748990000002
"2,3-dihydropyran",348.15,-25.84082069,-27.76834984,891.42,84.1169,REF,-2.12785382,0.0832065616,-1.12621749,-1.927529149999998
"2,3-dihydropyran",343.15,-26.1943995,-28.12992088,896.21,84.1169,REF,-2.2290232,0.0669779342,-1.2202883,-1.9355213800000008
"2,3-dihydropyran",338.15,-26.55049287,-28.48837127,901.03,84.1169,REF,-2.33682645,0.0529704579,-1.32171635,-1.937878399999999
"2,3-dihydropyran",333.15,-26.90906493,-28.84396624,905.89,84.1169,REF,-2.45136475,0.0411542951,-1.43055941,-1.9349013100000008
"2,3-dihydropyran",328.15,-27.27008015,-29.19714432,910.78,84.1169,REF,-2.57263023,0.0314168379,-1.54675061,-1.9270641700000013
"2,3-dihydropyran",323.15,-27.63350359,-29.54845338,915.7,84.1169,REF,-2.700541,0.0235752583,-1.67013693,-1.9149497900000014
"2,3-dihydropyran",318.15,-27.99930125,-29.89850088,920.66,84.1169,REF,-2.83496974,0.0173994355,-1.80051332,-1.8991996300000018
"2,3-dihydropyran",313.15,-28.36744033,-30.24790337,925.66,84.1169,REF,-2.97577548,0.0126372643,-1.93766031,-1.8804630399999986
"2,3-dihydropyran",308.15,-28.73788959,-30.59724311,930.69,84.1169,REF,-3.12283354,0.0090374004,-2.08137872,-1.859353519999999
"2,3-dihydropyran",303.15,-29.11061966,-30.94703839,935.76,84.1169,REF,-3.27605846,0.0063663463,-2.23151609,-1.8364187299999983
"2,3-dihydropyran",298.15,-29.48560345,-31.29772672,940.86,84.1169,REF,-3.43541995,0.0044188419,-2.38798444,-1.8121232700000007
dimethylformamide,403.15,-22.12730948,-23.74597728,801.05,73.0941,REF,-1.30038992,0.423139865,-0.41036093,-1.6186678000000008
dimethylformamide,398.15,-22.45099291,-24.14487322,805.29,73.0941,REF,-1.34029513,0.3997758283,-0.43678983,-1.6938803100000008
dimethylformamide,393.15,-22.77754467,-24.54722339,809.57,73.0941,REF,-1.38088967,0.3765697127,-0.46444847,-1.7696787199999982
dimethylformamide,388.15,-23.10693885,-24.9530203,813.88,73.0941,REF,-1.42218979,0.3536208851,-0.49335392,-1.8460814499999998
dimethylformamide,383.15,-23.4391479,-25.36200527,818.22,73.0941,REF,-1.46435496,0.3309523891,-0.52363233,-1.9228573700000027
dimethylformamide,378.15,-23.77414272,-25.77410251,822.59,73.0941,REF,-1.50744648,0.3086464799,-0.55533871,-1.9999597899999983
dimethylformamide,373.15,-24.11189277,-26.18912275,826.99,73.0941,REF,-1.55159454,0.2867531829,-0.58858387,-2.0772299799999985
