Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
cyclohexanol,368.15,2.6074606,2.73599799,880.78,100.1595,REF,-2.22713538,0.0136417989,-1.28524561,0.12853738999999997
cyclohexanol,363.15,2.37014979,2.50194432,885.4,100.1595,REF,-2.39195592,0.009356572,-1.44707354,0.13179453000000008
cyclohexanol,358.15,2.12743908,2.26208363,890.05,100.1595,REF,-2.56113003,0.0063487626,-1.61346883,0.13464454999999997
cyclohexanol,353.15,1.87921951,2.01637834,894.73,100.1595,REF,-2.73488681,0.0042603946,-1.78459967,0.13715883000000018
cyclohexanol,348.15,1.62539208,1.76478261,899.43,100.1595,REF,-2.91345706,0.0028264061,-1.96065215,0.13939053
cyclohexanol,343.15,1.3658688,1.50724721,904.17,100.1595,REF,-3.09707588,0.0018529196,-2.14182885,0.14137840999999995
cyclohexanol,338.15,1.10057361,1.24372371,908.93,100.1595,REF,-3.28598508,0.0011998,-2.32834816,0.14315009999999995
cyclohexanol,333.15,0.82944309,0.97416808,913.72,100.1595,REF,-3.48043556,0.0007669471,-2.52044431,0.14472498999999994
cyclohexanol,328.15,0.55242703,0.69854345,918.53,100.1595,REF,-3.68068953,0.0004837059,-2.71836775,0.1461164199999999
cyclohexanol,323.15,0.26948871,0.41682217,923.38,100.1595,REF,-3.88702249,0.000300811,-2.92238582,0.14733345999999997
cyclohexanol,318.15,-0.01939498,0.12898713,928.25,100.1595,REF,-4.09972518,0.0001843401,-3.13278363,0.14838211
cyclohexanol,313.15,-0.31423366,-0.16496757,933.15,100.1595,REF,-4.3191053,0.0001112392,-3.3498651,0.14926609000000002
cyclohexanol,308.15,-0.6150239,-0.46503659,938.08,100.1595,REF,-4.54548926,6.60518e-05,-3.57395408,0.14998730999999993
cyclohexanol,303.15,-0.92174984,-0.77120382,943.03,100.1595,REF,-4.77922378,3.85618e-05,-3.80539564,0.15054602000000006
cyclohexanol,298.15,-1.23438398,-1.08344333,948.02,100.1595,REF,-5.02067753,2.2116e-05,-4.04455738,0.15094065000000012
"2,3-dihydropyran",403.15,4.12814181,4.99688724,840.91,84.1169,REF,-1.6014872,0.0662167944,-0.61471714,0.8687454300000006
"2,3-dihydropyran",398.15,3.9249904,4.89275081,845.34,84.1169,REF,-1.79652371,0.0429160724,-0.80278279,0.9677604099999999
"2,3-dihydropyran",393.15,3.71738099,4.76973006,849.81,84.1169,REF,-1.98850174,0.0278554907,-0.98949151,1.0523490699999996
"2,3-dihydropyran",388.15,3.50516833,4.63199741,854.3,84.1169,REF,-2.17973414,0.0180482815,-1.17651011,1.1268290800000003
"2,3-dihydropyran",383.15,3.28820878,4.48267569,858.83,84.1169,REF,-2.37205486,0.01163879,-1.36528698,1.1944669099999996
"2,3-dihydropyran",378.15,3.06636144,4.32401053,863.39,84.1169,REF,-2.56688635,0.0074514969,-1.5570067,1.2576490899999997
"2,3-dihydropyran",373.15,2.83948933,4.15760083,867.98,84.1169,REF,-2.7653462,0.0047265207,-1.7526358,1.3181114999999997
"2,3-dihydropyran",368.15,2.6074606,3.98456747,872.6,84.1169,REF,-2.9683259,0.0029651799,-1.95296782,1.37710687
"2,3-dihydropyran",363.15,2.37014979,3.8056827,877.26,84.1169,REF,-3.17655239,0.0018371201,-2.15866528,1.43553291
"2,3-dihydropyran",358.15,2.12743908,3.62146336,881.94,84.1169,REF,-3.39063269,0.0011226784,-2.37029257,1.49402428
"2,3-dihydropyran",353.15,1.87921951,3.43223673,886.67,84.1169,REF,-3.61108541,0.0006759685,-2.58834009,1.55301722
"2,3-dihydropyran",348.15,1.62539208,3.23819035,891.42,84.1169,REF,-3.83836497,0.0004006113,-2.81324362,1.61279827
